#Name,Barley,Herbs,Dye Plant,Resin,Saltwort,Small Birds,Flax,Beaver,Pony,Sea Shell,Iron,Copper,Silver,Tin,Granite,Mountains,Marshes,Size
340,,1,,,,,,1,,1,,1,,1,1,7,3,M
N,1,,,,,,,,1,1,1,1,1,,,8,6,L
020,1,,1,,1,,1,,,,,,,1,1,8,6,L
070,1,,,1,,1,,,1,,1,,1,,,9,6,L
E,,1,1,,,,1,1,,,1,,1,,,8,7,L
110,1,,1,,,,,1,,1,1,,,1,,7,3,M
160,,1,,1,1,,1,,,,,,1,,1,8,2,M
S,1,,1,,,,,,1,1,1,,1,,,9,6,L
200,1,,1,,,,,,1,1,,,,1,1,8,8,L
250,,1,,,,,,1,1,,,1,,1,1,9,5,L
W,,1,,,1,1,,,,,1,1,1,,,9,6,L
290,,1,,,,1,,1,,,1,1,,1,,6,5,M
